amp-wp-title,amp-wp-title href,large-screen-excerpt
Latur to Jalna,https://bustimings.in/msrtc/latur-jalna/amp/,Dep. Time Route Name Bus service type 15:30 LATUR to JALNA ORDINARY EXPRESS 20:00 LATUR to JALGAON SEMI LUXURY
Jalna to Satara,https://bustimings.in/msrtc/jalna-satara/amp/,"Sorry, no buses found in this route"
Washim to Nagpur,https://bustimings.in/msrtc/washim-nagpur/amp/,Dep. Time Route Name Bus service type 05:30 WASHIM to BHANDARA ORDINARY EXPRESS 06:00 AURANGABAD to NAGPUR via YAVATMAL ORDINARY…
Solapur to Dhule,https://bustimings.in/msrtc/solapur-dhule/amp/,Dep. Time Route Name Bus service type 18:00 SOLAPUR to DHULE NIGHT EXPRESS
Washim to Yavatmal,https://bustimings.in/msrtc/washim-yavatmal/amp/,Dep. Time Route Name Bus service type 05:30 CIDCO AURANGABAD to PANDHARKAWADA via LONAR ORDINARY EXPRESS 06:00 AURANGABAD to NAGPUR…
Dhule to Nasik,https://bustimings.in/msrtc/dhule-nasik/amp/,Dep. Time Route Name Bus service type 05:00 BHUSAVAL to BOISAR DAY ORDINARY 05:00 SHAHADA to NASIK CBS ORDINARY EXPRESS…
Nagpur to Yavatmal,https://bustimings.in/msrtc/nagpur-yavatmal/amp/,Dep. Time Route Name Bus service type 05:00 NAGPUR to UMARKHED via JAWALA ORDINARY EXPRESS 05:30 TIRODA to YAVATMAL ORDINARY…
Kolhapur to Jalna,https://bustimings.in/msrtc/kolhapur-jalna/amp/,Dep. Time Route Name Bus service type 18:45 KOLHAPUR to JALNA NIGHT EXPRESS
Solapur to Osmanabad,https://bustimings.in/msrtc/solapur-osmanabad/amp/,Dep. Time Route Name Bus service type 06:45 KOLHAPUR to OSMANABAD via SOLAPUR DAY ORDINARY 07:00 SOLAPUR to JALGAON ORDINARY…
Latur to Kolhapur,https://bustimings.in/msrtc/latur-kolhapur/amp/,Dep. Time Route Name Bus service type 08:30 LATUR to KOLHAPUR ORDINARY EXPRESS 11:00 LATUR to KOLHAPUR SEMI LUXURY 20:30…
Wardha to Washim,https://bustimings.in/msrtc/wardha-washim/amp/,Dep. Time Route Name Bus service type 06:00 NAGPUR to AURANGABAD via YAVATMAL ORDINARY EXPRESS 07:15 NAGPUR to PARTUR via…
Washim to Wardha,https://bustimings.in/msrtc/washim-wardha/amp/,Dep. Time Route Name Bus service type 06:00 AURANGABAD to NAGPUR via YAVATMAL ORDINARY EXPRESS
Parbhani to Jalna,https://bustimings.in/msrtc/parbhani-jalna/amp/,Dep. Time Route Name Bus service type 05:30 PARBHANI to AURANGABAD DAY ORDINARY 06:15 KANDHAR to CIDCO AURANGABAD via NANDED…
Jalna to Solapur,https://bustimings.in/msrtc/jalna-solapur/amp/,Dep. Time Route Name Bus service type 07:45 JALNA to AKKALKOT ORDINARY EXPRESS
Washim to Nasik,https://bustimings.in/msrtc/washim-nasik/amp/,Dep. Time Route Name Bus service type 08:46 WASHIM to NASIK CBS via MEHKAR ORDINARY EXPRESS
Osmanabad to Sangli,https://bustimings.in/msrtc/osmanabad-sangli/amp/,Dep. Time Route Name Bus service type 08:15 OSMANABAD to KOLHAPUR DAY ORDINARY 16:00 OSMANABAD to PANJIM via SOLAPUR SEMI…
Hingoli to Nasik,https://bustimings.in/msrtc/hingoli-nasik/amp/,Dep. Time Route Name Bus service type 07:15 KALAMNOORI to NASIK CBS via AURANGABAD DAY ORDINARY 15:00 PUSAD to MUMBAI…
Hingoli to Wardha,https://bustimings.in/msrtc/hingoli-wardha/amp/,Dep. Time Route Name Bus service type 07:20 AMBAJOGAI to NAGPUR ORDINARY EXPRESS 08:00 PARBHANI to NAGPUR SEMI LUXURY 19:30…
Dhule to Shirdi,https://bustimings.in/msrtc/dhule-shirdi/amp/,Dep. Time Route Name Bus service type 05:00 NANDURBAR to PANDHARPUR ORDINARY EXPRESS 05:00 DHULE to SHIVAJI NAGAR PUNE ORDINARY…
Shirdi to Sangli,https://bustimings.in/msrtc/shirdi-sangli/amp/,Dep. Time Route Name Bus service type 05:45 KOKAMTHAN to SANGLI ORDINARY EXPRESS
Osmanabad to Dhule,https://bustimings.in/msrtc/osmanabad-dhule/amp/,"Sorry, no buses found in this route"
Osmanabad to Latur,https://bustimings.in/msrtc/osmanabad-latur/amp/,Dep. Time Route Name Bus service type 06:30 PANDHARPUR to BHOKAR via OSMANABAD ORDINARY EXPRESS 06:30 SOLAPUR to BHOKAR ORDINARY…
Yavatmal to Nagpur,https://bustimings.in/msrtc/yavatmal-nagpur/amp/,Dep. Time Route Name Bus service type 05:30 MAHUR to TUMSAR ORDINARY EXPRESS 05:30 YAVATMAL to NAGPUR ORDINARY EXPRESS 05:45…
Yavatmal to Parbhani,https://bustimings.in/msrtc/yavatmal-parbhani/amp/,Dep. Time Route Name Bus service type 07:00 NAGPUR to AMBAJOGAI ORDINARY EXPRESS 07:15 RAJURA to PARALI DAY ORDINARY 20:30…
Shirdi to Latur,https://bustimings.in/msrtc/shirdi-latur/amp/,Dep. Time Route Name Bus service type 07:00 SHIRDI to NILANGA via AMBAJOGAI ORDINARY EXPRESS
Parbhani to Sangli,https://bustimings.in/msrtc/parbhani-sangli/amp/,Dep. Time Route Name Bus service type 05:00 PARBHANI to KOLHAPUR DAY ORDINARY 11:45 HINGOLI to KOLHAPUR SEMI LUXURY 17:00…
Nanded to Wardha,https://bustimings.in/msrtc/nanded-wardha/amp/,Dep. Time Route Name Bus service type 05:00 NANDED to NAGPUR via DIGRAS DAY ORDINARY 06:00 NANDED to NAGPUR via…
Osmanabad to Nagpur,https://bustimings.in/msrtc/osmanabad-nagpur/amp/,Dep. Time Route Name Bus service type 07:30 PANDHARPUR to NAGPUR SEMI LUXURY
Washim to Shirdi,https://bustimings.in/msrtc/washim-shirdi/amp/,Dep. Time Route Name Bus service type 08:30 WASHIM to SHIRDI ORDINARY EXPRESS 09:45 MANGRULPIR to SHIRDI ORDINARY EXPRESS
Washim to Latur,https://bustimings.in/msrtc/washim-latur/amp/,Dep. Time Route Name Bus service type 07:30 AKOLA to AUSA ORDINARY EXPRESS 07:30 AMRAVATI to AUSA via NANDED ORDINARY…
Osmanabad to Solapur,https://bustimings.in/msrtc/osmanabad-solapur/amp/,Dep. Time Route Name Bus service type 07:00 YERMALA to SOLAPUR DAY ORDINARY 13:30 YERMALA to SOLAPUR DAY ORDINARY
Dhule to Pune,https://bustimings.in/msrtc/dhule-pune/amp/,Dep. Time Route Name Bus service type 05:00 DHULE to SHIVAJI NAGAR PUNE ORDINARY EXPRESS 05:30 DHULE to CHINCHWAD via…
Latur to Yavatmal,https://bustimings.in/msrtc/latur-yavatmal/amp/,Dep. Time Route Name Bus service type 06:30 PANDHARPUR to YAVATMAL ORDINARY EXPRESS 07:15 LATUR to WARDHA ORDINARY EXPRESS 09:00…
Parbhani to Hingoli,https://bustimings.in/msrtc/parbhani-hingoli/amp/,Dep. Time Route Name Bus service type 05:00 BEED to KINWAT ORDINARY EXPRESS 06:00 TARAKPUR to UMARKHED via MAJALGAON ORDINARY…
Parbhani to Satara,https://bustimings.in/msrtc/parbhani-satara/amp/,Dep. Time Route Name Bus service type 07:00 JINTOOR to SATARA DAY ORDINARY
Satara to Ratnagiri,https://bustimings.in/msrtc/satara-ratnagiri/amp/,Dep. Time Route Name Bus service type 07:15 SATARA to RATNAGIRI DAY ORDINARY
Jalna to Parbhani,https://bustimings.in/msrtc/jalna-parbhani/amp/,Dep. Time Route Name Bus service type 06:30 BHUSAVAL to NANDED ORDINARY EXPRESS 07:00 CIDCO AURANGABAD to DHARMABAD ORDINARY EXPRESS…
Latur to Shirdi,https://bustimings.in/msrtc/latur-shirdi/amp/,"Sorry, no buses found in this route"
